128209,148320
683245,683250
309617,309613
852260,852258
634048,634034
646076,646085
670410,13949
296195,316523
895897,895888
542976,43075
593690,593607
129906,129893
734501,734491
502846,502840
570288,570272
805945,805871
654268,653734
161581,134628
278527,278534
57695,57700
482581,482575
502545,503638
561861,561833
72745,72753
597901,597899
867735,867843
885040,885047
717497,717507
152433,152426
484193,484186
363919,363941
314976,314970
348036,348025
368652,359846
271343,271337
792698,792704
324530,324534
811293,811285
927710,549200
778145,777417
396286,396274
734594,685490
83975,78754
261530,261529
288521,288510
837927,837928
930367,930376
427305,427289
840820,543720
78738,78735
409744,410302
887067,887071
417260,417256
707247,707249
743743,743735
388463,388456
123650,132596
454338,458467
529486,529520
135707,135708
715497,715545
907931,907898
517470,517461
166995,166983
668467,668461
707228,707233
692366,692389
739812,739799
458918,432408
331385,331386
329167,174475
272118,297211
53952,572571
286812,286807
506898,506908
70778,70772
158127,158121
646950,646944
179704,179702
219803,219804
940027,939936
341415,344073
930624,930677
10910,915823
251697,252977
507289,507280
232520,232510
218478,284247
866715,73340
342465,356902
781793,781750
467758,467748
33179,33184
593336,921586
174331,340067
357059,357060
598031,598038
512965,512956
794447,622974
294072,294058
